"review_id","analysis_name","k","theta","se","tau2","i2","p_value","significant","median_n","se_typical","p_rep","p_classical","rep_gap"
"CD000028_pub4","All-cause mortality",35,-0.0886252534638483,0.0341005617447925,0.0138392847529781,41.5610756680385,0.00935125996572423,TRUE,877,0.16316341098291,0.125229761370449,0.0782713904719581,-0.0469583708984913
"CD000143_pub2","Extubation failure",47,-0.438723918814255,0.0714056190631933,0.0958333669230931,46.5382282037835,8.04135247135307e-10,TRUE,59,0.342592490766053,0.307108981936008,0.248453608988805,-0.0586553729472035
"CD000219_pub5","Pain",27,-0.238810512595318,0.0551502721900442,0.0259254459645961,41.3503693845446,1.48988648405859e-05,TRUE,225,0.273615963548858,0.174385989774612,0.138480960731161,-0.0359050290434512
"CD000478_pub5","Failure to maintain remission",26,-0.387056290168252,0.0580339781863499,0,0,2.56716383198844e-11,TRUE,25,0.466310856265122,0.129253959761476,0.129253959761476,0
"CD000547_pub3","Uterine volume (mL) (preoperative)",2,3.27340901389235,0.453541895937583,0.266491223965895,62.962112832734,5.29774234084325e-13,TRUE,75,0.38510544704285,0.999953967411323,0.999999999969255,4.60325579313414e-05
"CD001155_pub3","Clinical vertebral fractures",93,-0.313106182386033,0.0697209340656532,0.123927718666638,46.5563977527147,7.09398543246024e-06,TRUE,178,0.779597650814173,0.0777669948112117,0.0595764980132494,-0.0181904967979622
"CD001321_pub7","Symptomatic UTI: culture-verified UTI",99,-0.321411340364657,0.0444570498926072,0.0871430407659165,62.0287802312507,4.84045570702929e-13,TRUE,176,0.363170439811928,0.202100086532478,0.14119881763429,-0.0609012688981876
"CD001396_pub4","Self-rated overall premenstrual symptoms",3,-0.337382808231666,0.26301431125062,5.95370083688248e-06,0.00247179000184397,0.199578076877797,FALSE,112,0.397125603587519,0.133417428040371,0.133412914229562,-4.51381080840418e-06
"CD001431_pub6","Informed values-choice congruence - all studies",297,0.988998559658137,0.0813219239721292,1.80795634481593,99.6390384301362,4.98202584948365e-34,TRUE,180,0.231293993490842,0.652699708719447,0.989720130724031,0.337020422004584
"CD001533_pub7","Number with frequent relapses by 12 to 24 months",38,-0.20204431508093,0.0600954628209352,0.0641051900496096,60.2097287801666,0.000773644147778562,TRUE,67,0.258479796125348,0.199963199757474,0.119338489017605,-0.0806247107398686
"CD001552_pub3","Clinical improvement at short-term follow-up: 3 months or less",7,-0.0488023162166443,0.171878872042487,0.162017093415804,86.3576702313015,0.776460690031605,FALSE,101,0.154987239761874,0.277216597287406,0.0499762026271814,-0.227240394660224
"CD001797_pub4","Significant improvement in disability within 6 weeks",7,0.618669102107456,0.240325254335326,0.155704008980818,45.0429378598538,0.0100443380566688,TRUE,45,0.663131357799682,0.188731749960173,0.152207188739053,-0.0365245612211204
"CD001837_pub4","Quit at longest follow-up (6 + months)",110,0.225746127029651,0.0256622011317872,0.0244408777740282,41.4036653606956,1.40730077265629e-18,TRUE,209,0.231003250260335,0.207862721495052,0.16287219572031,-0.0449905257747418
